Time,Noise level,Estimated mean,Theoretical sample mean,Estimated variance,Theoretical sample variance,Theoretical population variance,Drift RMSE
0.0,0.05,0.024183269997170086,0.023803678834763402,0.9909463528777092,0.9921396061899661,0.9975062344139651,0.0007091610647021546
0.25,0.05,0.024440030854577292,0.023896806587480612,1.3346093844287537,1.3360698231375028,1.3289036544850499,0.0009969295910632501
0.5,0.05,0.014649499277753563,0.01391349256024137,1.9916368915714842,1.992546139844603,1.9900497512437814,0.001639921282346621
0.75,0.05,0.01900264619940873,0.017551261040405913,3.9947992450124903,4.004875047753918,3.9603960396039604,0.00331249632282132
0.8968253968253967,0.05,0.05062060223441308,0.047633765879052256,10.14605588315807,10.114255472849694,9.463011641006377,0.009974628609040144
0.9960317460317459,0.05,0.3635764576420172,0.2902682562770583,148.69054928984275,153.09618035887797,154.6012269938627,0.24143286838588626
0.0,0.1,0.02539190759285368,0.024614037886405225,0.9806966153548687,0.9830712122568283,0.9900990099009901,0.001428303397725775
0.25,0.1,0.026165193243591806,0.024972812092760678,1.314702443860394,1.3178767418012505,1.3157894736842106,0.002078953377993341
0.5,0.1,0.017132404016008806,0.015663765186157343,1.9587530832006517,1.960998465281733,1.9607843137254901,0.0032997123275696227
0.75,0.1,0.023677592553695767,0.020879552485082498,3.8635482233673364,3.8865095151141587,3.846153846153846,0.007163972431695963
0.8968253968253967,0.1,0.05764608751759394,0.05328642090395299,9.38314925109004,9.340576081479867,8.835904628330988,0.01781105929518908
0.9960317460317459,0.1,0.29512031641244724,0.20578943083897305,70.26942690651589,71.37003053541238,71.59090909090858,0.2188146234895934
0.0,0.25,0.028238579856802743,0.026212846085201066,0.9247545867427774,0.9301244749982444,0.9411764705882353,0.003445672609347451
0.25,0.25,0.03064485661063054,0.02704037894246768,1.2109429699483973,1.219662518963777,1.2307692307692308,0.005611380994979861
0.5,0.25,0.022968026459103775,0.01951909501368376,1.7651668135618166,1.7725655419189565,1.7777777777777777,0.007970849539198337
0.75,0.25,0.032633293860373634,0.026942893908410655,3.1679017962272957,3.224819737475832,3.2,0.01806563883752815
0.8968253968253967,0.25,0.05539939092516377,0.054453972231029255,6.168090631118736,6.183764929919982,6.035928143712572,0.03058972889114085
0.9960317460317459,0.25,0.17058013141813466,0.08824497988166724,16.231184474824598,15.052832965834853,15.044776119402963,0.2511764482165785
0.0,0.5,0.030239526514221016,0.02626888010609675,0.7793262423874967,0.7863941729328685,0.8,0.005631257687224772
0.25,0.5,0.03503068519076092,0.026955259057849783,0.9641215738412062,0.978501795622105,1.0,0.010932278093469817
0.5,0.5,0.02676338377568963,0.021285922816389215,1.3125387344954909,1.325462970544797,1.3333333333333333,0.01301900002311668
0.75,0.5,0.03381075277195095,0.026809211026946243,1.9489336235866586,2.0079212569403837,2.0,0.02348237665046073
0.8968253968253967,0.5,0.030301100631263133,0.03965911275003774,2.7498596571626495,2.8323506364238114,2.8314606741573027,0.04288562774414024
0.9960317460317459,0.5,0.1163602162636241,0.04272361104884094,4.918165229234866,3.941070975250894,3.9374999999999987,0.2957987397675015
0.0,1.0,0.027768924858547244,0.021403001233405262,0.48795308971744583,0.490353610763612,0.5,0.006593076362555219
0.25,1.0,0.035488114117593145,0.021100092224022496,0.5443250558003108,0.555235311325895,0.5714285714285714,0.016373240712072416
0.5,1.0,0.02344428687143679,0.017289562964320992,0.6523218169054358,0.662335801972158,0.6666666666666666,0.01426084577508156
0.75,1.0,0.02445227065020857,0.018699606278130155,0.7812606311881001,0.8008523272756096,0.8,0.01393731426226041
0.8968253968253967,1.0,0.0029137758486417436,0.021734087852406946,0.8306195482932173,0.9002757558067307,0.9064748201438848,0.050657258783589024
0.9960317460317459,1.0,0.08871847818805302,0.020738049388701985,1.6175043520912475,0.9968988751687208,0.9960474308300395,0.319049208769136
